iter	Passed	Remaining
0	72	21585
1	83	12511
2	95	9457
3	105	7812
4	115	6837
5	125	6140
6	135	5661
7	145	5297
8	154	5007
9	165	4790
10	175	4617
11	185	4451
12	195	4307
13	206	4209
14	215	4095
15	225	4004
16	235	3923
17	245	3841
18	254	3765
19	264	3699
20	273	3638
21	283	3580
22	293	3537
23	303	3487
24	313	3448
25	323	3406
26	333	3374
27	343	3336
28	353	3301
29	363	3271
30	374	3250
31	384	3219
32	395	3197
33	404	3167
34	414	3139
35	424	3112
36	434	3088
37	444	3062
38	453	3035
39	463	3011
40	473	2988
41	482	2966
42	493	2948
43	502	2925
44	512	2903
45	522	2886
46	533	2873
47	543	2853
48	553	2835
49	563	2816
50	573	2798
51	583	2781
52	592	2761
53	603	2748
54	612	2728
55	622	2710
56	632	2696
57	642	2682
58	653	2668
59	663	2654
60	673	2639
61	682	2621
62	692	2605
63	702	2589
64	712	2574
65	721	2558
66	732	2548
67	742	2533
68	752	2517
69	761	2502
70	771	2487
71	781	2473
72	790	2459
73	800	2444
74	810	2432
75	820	2417
76	830	2405
77	840	2392
78	850	2379
79	860	2367
80	870	2354
81	880	2341
82	890	2328
83	900	2315
84	910	2303
85	919	2289
86	929	2276
87	940	2266
88	950	2253
89	960	2241
90	970	2228
91	980	2217
92	990	2205
93	1000	2192
94	1010	2179
95	1020	2168
96	1031	2158
97	1041	2147
98	1051	2135
99	1061	2122
100	1070	2109
101	1080	2097
102	1090	2086
103	1101	2075
104	1111	2063
105	1120	2051
106	1130	2039
107	1140	2027
108	1150	2015
109	1160	2003
110	1169	1991
111	1178	1978
112	1188	1966
113	1198	1955
114	1208	1943
115	1218	1932
116	1228	1921
117	1239	1911
118	1249	1901
119	1259	1889
120	1269	1877
121	1279	1866
122	1288	1854
123	1298	1842
124	1308	1831
125	1317	1819
126	1326	1807
127	1336	1795
128	1346	1785
129	1356	1774
130	1366	1763
131	1376	1751
132	1385	1739
133	1395	1729
134	1405	1718
135	1415	1706
136	1425	1695
137	1435	1684
138	1445	1674
139	1455	1663
140	1465	1652
141	1475	1641
142	1485	1630
143	1495	1619
144	1504	1608
145	1514	1597
146	1523	1585
147	1533	1574
148	1542	1563
149	1552	1552
150	1562	1541
151	1571	1530
152	1581	1519
153	1591	1509
154	1601	1498
155	1611	1487
156	1620	1476
157	1629	1464
158	1640	1455
159	1650	1444
160	1659	1432
161	1669	1422
162	1680	1412
163	1689	1401
164	1699	1390
165	1709	1380
166	1719	1369
167	1729	1358
168	1739	1347
169	1749	1337
170	1759	1327
171	1768	1316
172	1777	1305
173	1787	1294
174	1798	1284
175	1808	1273
176	1817	1262
177	1827	1252
178	1836	1241
179	1846	1231
180	1856	1220
181	1865	1209
182	1875	1199
183	1885	1188
184	1895	1178
185	1905	1167
186	1915	1157
187	1925	1147
188	1935	1136
189	1945	1126
190	1957	1117
191	1967	1106
192	1976	1095
193	1986	1085
194	1996	1074
195	2006	1064
196	2015	1053
197	2025	1043
198	2034	1032
199	2044	1022
200	2054	1011
201	2063	1001
202	2073	990
203	2083	980
204	2093	970
205	2102	959
206	2112	949
207	2121	938
208	2131	928
209	2141	917
210	2150	907
211	2160	896
212	2170	886
213	2180	876
214	2189	865
215	2199	855
216	2209	845
217	2218	834
218	2228	824
219	2237	813
220	2248	803
221	2258	793
222	2268	783
223	2277	772
224	2287	762
225	2297	752
226	2308	742
227	2317	731
228	2327	721
229	2337	711
230	2348	701
231	2358	691
232	2368	681
233	2378	670
234	2388	660
235	2397	650
236	2407	639
237	2417	629
238	2426	619
239	2436	609
240	2446	598
241	2457	588
242	2467	578
243	2476	568
244	2486	558
245	2496	547
246	2505	537
247	2515	527
248	2525	517
249	2535	507
250	2544	496
251	2555	486
252	2565	476
253	2574	466
254	2584	456
255	2595	446
256	2604	435
257	2614	425
258	2624	415
259	2633	405
260	2644	395
261	2653	384
262	2663	374
263	2672	364
264	2681	354
265	2691	344
266	2701	333
267	2711	323
268	2720	313
269	2730	303
270	2739	293
271	2749	283
272	2760	273
273	2770	262
274	2780	252
275	2789	242
276	2799	232
277	2809	222
278	2819	212
279	2828	202
280	2839	191
281	2850	181
282	2859	171
283	2869	161
284	2878	151
285	2888	141
286	2898	131
287	2907	121
288	2917	111
289	2927	100
290	2937	90
291	2947	80
292	2957	70
293	2967	60
294	2976	50
295	2986	40
296	2996	30
297	3006	20
298	3015	10
299	3025	0
